,agence_1,agence_2,Support,Solde,Solde confirmé ?,Date Solde
0,FTL LE CRES,PLM MONTPELLIER,PAL EUROPE,357,Oui,4/30/2024
1,FTL LE CRES,PLM PLAN D'ORGON,PAL EUROPE,2425,Oui,4/30/2024
2,GUIDEZ MONCHY LE PREUX,,PAL DUSS,0,Oui,4/30/2024
3,GUIDEZ MONCHY LE PREUX,SATAR AGEN LOGISTIQUE,PAL DUSS,0,Oui,4/30/2024
4,GUIDEZ MONCHY LE PREUX,SATAR SAMAZAN,PAL DUSS,0,Oui,4/30/2024
5,GUIDEZ MONCHY LE PREUX,GUIDEZ LOG MONCHY ,PAL EUROPE,-192,Oui,4/30/2024
6,GUIDEZ MONCHY LE PREUX,PLM PLAN D'ORGON,PAL EUROPE,-125,Oui,4/30/2024
7,GUIDEZ MONCHY LE PREUX,PRA FEILLENS,PAL EUROPE,74,Oui,4/30/2024
8,GUIDEZ MONCHY LE PREUX,PRA LYON,PAL EUROPE,2069,Oui,4/30/2024
9,GUIDEZ MONCHY LE PREUX,PRIMEVER IDF LOGISTIQUE RUNGIS,PAL EUROPE,-114,Oui,4/30/2024
10,GUIDEZ MONCHY LE PREUX,PRIMEVER LIMOUSIN DONZENAC,PAL EUROPE,240,Oui,4/30/2024
11,GUIDEZ MONCHY LE PREUX,PRIMEVER NORMANDIE ST AMAND,PAL EUROPE,404,Oui,4/30/2024
12,GUIDEZ MONCHY LE PREUX,PRIMEVER PERPIGNAN 5,PAL EUROPE,-181,Oui,4/30/2024
13,GUIDEZ MONCHY LE PREUX,PRIMEVER PROVENCE CHATEAURENARD,PAL EUROPE,-11,Oui,4/30/2024
14,GUIDEZ MONCHY LE PREUX,PRIMEVER TOULOUSE,PAL EUROPE,-17,Oui,4/30/2024
15,GUIDEZ MONCHY LE PREUX,PRIMEVER TROYES,PAL EUROPE,-167,Oui,4/30/2024
16,GUIDEZ MONCHY LE PREUX,PTI AGEN,PAL EUROPE,41,Oui,4/30/2024
17,GUIDEZ MONCHY LE PREUX,PTSO MOISSAC,PAL EUROPE,0,Oui,4/30/2024
18,GUIDEZ MONCHY LE PREUX,SATAR MOISSAC,PAL EUROPE,-267,Oui,4/30/2024
19,GUIDEZ MONCHY LE PREUX,SERRES ET PILAIRE CHÂTEAURENARD,PAL EUROPE,501,Oui,4/30/2024
20,PLM MONTPELLIER,FTL LE CRES,PAL EUROPE,-357,Oui,4/30/2024
21,PLM MONTPELLIER,PLM PLAN D'ORGON,PAL EUROPE,0,Oui,4/30/2024
22,PLM MONTPELLIER,PRIMEVER PERPIGNAN 1,PAL EUROPE,44,Oui,4/30/2024
23,PLM MONTPELLIER,PRIMEVER PROVENCE CHATEAURENARD,PAL EUROPE,-525,Oui,4/30/2024
24,PLM MONTPELLIER,TMF LE CRES,PAL EUROPE,-14,Oui,4/30/2024
25,PLM NICE,PLM PLAN D'ORGON,PAL EUROPE,6,Oui,4/30/2024
26,PLM PLAN D'ORGON,,PAL EUROPE,0,Oui,4/30/2024
27,PLM PLAN D'ORGON,FTL LE CRES,PAL EUROPE,-2425,Oui,4/30/2024
28,PLM PLAN D'ORGON,GUIDEZ MONCHY LE PREUX,PAL EUROPE,125,Oui,4/30/2024
29,PLM PLAN D'ORGON,PLM MONTPELLIER,PAL EUROPE,0,Oui,4/30/2024
30,PLM PLAN D'ORGON,PLM NICE,PAL EUROPE,-6,Oui,4/30/2024
31,PLM PLAN D'ORGON,PRA FEILLENS,PAL EUROPE,-35,Oui,4/30/2024
32,PLM PLAN D'ORGON,PRA LYON,PAL EUROPE,195,Oui,4/30/2024
33,PLM PLAN D'ORGON,PRIMEVER NORMANDIE ST AMAND,PAL EUROPE,26,Oui,4/30/2024
